Date,Power in kW,Last Hour Power in kW,Temperature in °C,Humidity in %,Solar Radiation in W/m^2
2017-01-01 01:00:00,119.1906989,117.823342,7.93,76.30833333333334,0.0
2017-01-01 02:00:00,117.9729915,119.1906989,7.263416666666667,80.27499999999999,0.0
2017-01-01 03:00:00,116.4132879,117.9729915,6.831333333333333,81.33333333333333,0.0
2017-01-01 04:00:00,116.1723836,116.4132879,6.50025,81.24166666666666,0.0
2017-01-01 05:00:00,114.8782817,116.1723836,6.0064166666666665,81.00833333333334,1.3758333333333332
2017-01-01 06:00:00,116.1282213,114.8782817,5.645833333333333,80.44166666666666,0.988
2017-01-01 07:00:00,116.1114773,116.1282213,5.47775,80.19166666666666,1.4661666666666668
2017-01-01 08:00:00,112.4997965,116.1114773,5.4102500000000004,80.35833333333333,29.54975
2017-01-01 09:00:00,112.9510473,112.4997965,5.480583333333333,80.09166666666667,76.49416666666667
2017-01-01 10:00:00,112.7486542,112.9510473,6.0168333333333335,78.79166666666667,192.8083333333333
2017-01-01 11:00:00,112.3430308,112.7486542,6.882416666666667,76.29166666666667,237.49166666666667
2017-01-01 12:00:00,113.6214352,112.3430308,7.56,75.31666666666666,267.5
2017-01-01 13:00:00,113.8309445,113.6214352,8.73,72.74916666666667,203.54999999999998
2017-01-01 14:00:00,114.5270763,113.8309445,9.809166666666666,70.03083333333333,146.23333333333332
2017-01-01 15:00:00,114.3096136,114.5270763,9.735833333333334,71.41083333333333,124.28333333333335
2017-01-01 16:00:00,117.1276288,114.3096136,9.525833333333333,73.75833333333334,56.92416666666667
2017-01-01 17:00:00,116.887771,117.1276288,8.9725,76.35833333333333,5.232166666666667
2017-01-01 18:00:00,118.3451269,116.887771,8.865,76.30833333333334,1.5073333333333334
2017-01-01 19:00:00,117.9116666,118.3451269,8.984166666666667,75.88333333333334,1.4498333333333333
2017-01-01 20:00:00,125.8803455,117.9116666,9.186666666666667,76.85833333333333,1.3549999999999998
2017-01-01 21:00:00,126.0302043,125.8803455,9.174166666666666,78.60000000000001,1.3435833333333334
2017-01-01 22:00:00,125.6538829,126.0302043,10.0075,77.71666666666667,1.2211666666666667
2017-01-01 23:00:00,126.1955513,125.6538829,9.882307692307693,80.23846153846154,0.0
2017-01-02 00:00:00,126.10325,126.1955513,9.471666666666666,83.45833333333333,0.0
2017-01-02 01:00:00,128.5286184,126.10325,10.209166666666667,84.08333333333333,0.0
2017-01-02 02:00:00,125.8692526,128.5286184,9.975833333333332,85.5,0.0
2017-01-02 03:00:00,126.8868692,125.8692526,9.791666666666666,87.19166666666666,0.0
2017-01-02 04:00:00,127.1987262,126.8868692,9.895,86.625,0.0
2017-01-02 05:00:00,126.4075722,127.1987262,10.0425,84.8,1.5416666666666667
2017-01-02 06:00:00,139.113338,126.4075722,10.42,81.575,1.7425833333333334
2017-01-02 07:00:00,161.108675,139.113338,10.256666666666666,82.43333333333334,1.7679166666666666
2017-01-02 08:00:00,207.5688797,161.108675,10.105833333333333,80.65833333333333,18.456583333333334
